English,Japanese
fabric,布
facilitate,促進する
factor,要因
fade,消える
fail,失敗する
faint,かすかな
faith,信仰
fake,偽物
fall,落ちる
fame,名声
familiar,馴染みのある
famous,有名な
fantasy,空想
farewell,別れ
farm,農場
fascinate,魅了する
fashion,ファッション
fast,速い
fat,脂肪
fate,運命
fault,欠陥
favor,好意
fear,恐怖
feasible,実現可能な
feather,羽
feature,特徴
federal,連邦の
fee,料金
feed,養う
feel,感じる
fellow,仲間
female,女性
fence,フェンス
festival,祭り
fetch,取ってくる
fever,熱
few,少しの
fiber,繊維
fiction,フィクション
field,野原
fierce,激しい
figure,数字
file,ファイル
fill,満たす
film,映画
filter,フィルター
final,最終的な
finance,財政
find,見つける
fine,良い
finger,指
finish,終わる
fire,火
firm,堅い
first,最初の
fish,魚
fit,合う
fix,修理する
flag,旗
flame,炎
flash,閃光
flat,平らな
flavor,風味
flee,逃げる
flesh,肉
flexible,柔軟な
flight,飛行
flock,群れ
flood,洪水
floor,床
flour,小麦粉
flow,流れる
flower,花
fluid,流動体
flush,赤面する
fly,飛ぶ
focus,焦点
fold,折りたたむ
follow,従う
food,食べ物
fool,愚か者
foot,足
forbid,禁じる
force,力
forecast,予測する
forehead,額
foreign,外国の
forest,森
forget,忘れる
forgive,許す
fork,フォーク
form,形
formal,正式な
format,形式
former,前の
forth,前へ
fortune,運命
gain,得る
galaxy,銀河
gallery,ギャラリー
gamble,ギャンブル
gang,ギャング
gap,隙間
garage,ガレージ
garbage,ゴミ
garden,庭
garlic,ニンニク
gas,ガス
gasp,息を切らす
gather,集める
gaze,見つめる
gear,ギア
gender,性別
gene,遺伝子
general,一般的な
generate,生成する
generation,世代
generous,寛大な
genius,天才
gentle,優しい
genuine,本物の
geography,地理
gesture,ジェスチャー
ghost,幽霊
giant,巨大な
gift,贈り物
gigantic,巨大な
ginger,生姜
girl,女の子
glad,嬉しい
glance,一見
glare,睨みつける
glass,ガラス
glimpse,ちらりと見える
global,地球規模の
globe,地球
glorious,栄光の
glory,栄光
glove,手袋
glow,輝く
glue,接着剤
goal,目標
goat,ヤギ
goddess,女神
gold,金
golden,金色の
golf,ゴルフ
good,良い
goodbye,さようなら
gorgeous,豪華な
gossip,噂話
govern,統治する
government,政府
governor,知事
grace,優雅
grade,等級
gradual,徐々の
graduate,卒業する
grain,穀物
grammar,文法
grand,壮大な
grandchild,孫
grandfather,祖父
grandmother,祖母
grant,与える
grape,ブドウ
graphic,グラフィック
grasp,把握する
grass,草
grateful,感謝している
grave,墓
gravity,重力
great,偉大な
greed,貪欲
green,緑
greet,挨拶する
grey,灰色
grid,グリッド
grief,悲しみ
grin,にっこり笑う
grind,挽く
grip,握る
grocery,食料品
ground,地面
group,グループ
grow,成長する
growth,成長
guarantee,保証する
guard,警備
guess,推測する
guest,ゲスト
guide,案内する
guilty,有罪の
guitar,ギター
gun,銃
guy,男
habit,習慣
hair,髪
half,半分
hall,ホール
halt,停止する
hammer,ハンマー
hand,手
handle,扱う
handsome,ハンサムな
hang,吊るす
happen,起こる
happy,幸せな
harbor,港
hard,硬い
hardly,ほとんど～ない
harm,害
harmony,調和
harsh,厳しい
harvest,収穫
hat,帽子
hate,憎む
have,持つ
hazard,危険
head,頭
heal,癒す
health,健康
heap,山積み
hear,聞く
heart,心
heat,熱
heaven,天国
heavy,重い
hedge,生垣
height,高さ
heir,相続人
helicopter,ヘリコプター
hell,地獄
helmet,ヘルメット
help,助ける
hence,それゆえ
herb,ハーブ
heritage,遺産
hero,英雄
hesitate,ためらう
hide,隠す
high,高い
highlight,強調する
hike,ハイキング
hill,丘
hint,ヒント
hire,雇う
history,歴史
hit,打つ
hobby,趣味
hold,保持する
hole,穴
holiday,休日
holy,神聖な
home,家
honest,正直な
honey,蜂蜜
honor,名誉
hook,フック
hope,希望
horizon,地平線
horn,角
horror,恐怖
horse,馬
hospital,病院
host,主人
hot,暑い
hotel,ホテル
hour,時間
house,家
household,家庭
hug,抱きしめる
huge,巨大な
hum,鼻歌を歌う
human,人間
humble,謙虚な
humor,ユーモア
hundred,百
hunger,飢え
hunt,狩る
hurry,急ぐ
hurt,傷つける
husband,夫
hush,静かにする
hybrid,ハイブリッド
hypothesis,仮説
ice,氷
idea,アイデア
ideal,理想的な
identify,識別する
identity,アイデンティティ
idle,怠惰な
idol,偶像
ignore,無視する
ill,病気の
illegal,違法の
illness,病気
illuminate,照らす
illusion,幻覚
illustrate,説明する
image,画像
imagine,想像する
imitate,模倣する
immediate,即時の
immense,巨大な
impact,影響
impatient,せっかちな
implement,実行する
implicate,関与させる
imply,暗示する
import,輸入する
important,重要な
impose,課す
impossible,不可能な
impress,感動させる
improve,改善する
impulse,衝動
incentive,動機
incident,出来事
include,含む
income,収入
increase,増加する
incredible,信じられない
independent,独立した
index,索引
indicate,示す
indifferent,無関心な
individual,個々の
indoor,屋内の
induce,誘発する
industry,産業
inevitable,避けられない
infant,乳児
infect,感染させる
infer,推測する
influence,影響
inform,知らせる
initial,最初の
inject,注入する
injure,傷つける
innocent,無罪の
input,入力
inquiry,問い合わせ
insight,洞察
insist,主張する
inspect,検査する
inspire,刺激する
install,インストールする
instance,例
instant,即時の
instead,その代わりに
instinct,本能
institute,研究所
instruct,指導する
instrument,楽器
insult,侮辱する
insurance,保険
intellectual,知的な
intelligence,知能
intend,意図する
intense,強烈な
interest,興味
internal,内部の
international,国際的な
interpret,解釈する
interrupt,中断する
interval,間隔
intervene,介入する
intimate,親密な
introduce,紹介する
invade,侵略する
invent,発明する
invest,投資する
investigate,調査する
invite,招待する
involve,関与する
iron,鉄
island,島
isolate,隔離する
issue,問題
jacket,ジャケット
jail,刑務所
jam,ジャム
january,1月
jar,瓶
jazz,ジャズ
jealous,嫉妬深い
jeans,ジーンズ
jelly,ゼリー
jewel,宝石
job,仕事
jog,ジョギングする
join,参加する
joke,冗談
journal,日誌
journey,旅
joy,喜び
judge,裁判官
judgment,判断
juice,ジュース
jump,跳ぶ
jungle,ジャングル
junior,年下の
junk,ガラクタ
jury,陪審
justice,正義
justify,正当化する
keen,鋭い
keep,保つ
kettle,やかん
key,鍵
kick,蹴る
kid,子供
kill,殺す
kind,親切な
king,王
kingdom,王国
kiss,キスする
kitchen,キッチン
knee,膝
kneel,ひざまずく
knife,ナイフ
knit,編む
knock,ノックする
knot,結び目
know,知る
knowledge,知識
label,ラベル
labor,労働
lack,欠如
lady,女性
lake,湖
lamp,ランプ
land,土地
landscape,風景
language,言語
laptop,ノートパソコン
large,大きい
last,最後の
late,遅い
laugh,笑う
launch,開始する
law,法律
lawn,芝生
lawsuit,訴訟
layer,層
lazy,怠惰な
leader,リーダー
leaf,葉
league,リーグ
lean,傾く
learn,学ぶ
lecture,講義
left,左の
legal,合法の
legend,伝説
lemon,レモン
lend,貸す
length,長さ
less,より少ない
lesson,授業
letter,手紙
level,レベル
liberal,自由主義の
liberty,自由
library,図書館
license,免許
lick,舐める
lie,嘘
adapt,適応する
admire,称賛する
adventure,冒険
advice,助言
affection,愛情
afford,余裕がある
agenda,議題
aid,援助
aim,目標
alert,警戒する
alter,変更する
amaze,驚かせる
ambitious,野心的な
analyze,分析する
ancient,古代の
annoy,苛立たせる
annual,年次の
anxiety,不安
apologize,謝罪する
apparent,明白な
appeal,訴える
appetite,食欲
applaud,拍手する
appoint,任命する
appreciate,感謝する
approach,接近する
approval,承認
archive,アーカイブ
arise,生じる
arrange,整える
arrest,逮捕する
arrive,到着する
artificial,人工的な
assemble,組み立てる
assess,評価する
assign,割り当てる
assist,支援する
associate,関連付ける
assume,仮定する
assure,保証する
astonish,驚かせる
attach,添付する
attempt,試みる
attend,出席する
attract,引きつける
auction,オークション
audit,監査
author,著者
authority,権限
automate,自動化する
available,利用可能な
avenue,大通り
average,平均
avoid,避ける
await,待つ
award,賞
aware,気づいている
awesome,素晴らしい
awful,ひどい
balance,バランス
ban,禁止する
barrier,障壁
base,基盤
basic,基本的な
bear,耐える
become,～になる
beg,懇願する
begin,始める
behalf,利益
behave,振る舞う
belief,信念
benefit,利益
beside,～のそばに
betray,裏切る
beware,注意する
bias,偏見
bind,縛る
biography,伝記
birth,誕生
bizarre,奇妙な
blame,非難する
blend,混ぜる
bless,祝福する
blind,盲目の
blink,まばたきする
block,ブロック
bloom,咲く
blow,吹く
boast,自慢する
bold,大胆な
boost,増強する
bore,退屈させる
borrow,借りる
bounce,跳ねる
bound,境界
branch,枝
brand,ブランド
brave,勇敢な
breeze,そよ風
abroad,海外で
accident,事故
agreement,合意
airplane,飛行機
ambition,野心
apologize,謝る
appointment,約束
available,利用可能
background,背景
behavior,行動
cancel,キャンセル
challenge,挑戦
choice,選択
climate,気候
comfortable,快適
community,コミュニティ
compare,比較する
complain,文句を言う
condition,状態
confidence,自信
consider,考慮する
convenient,便利
culture,文化
customer,顧客
dangerous,危険
decide,決める
delicious,おいしい
deserve,値する
develop,発展する
difficult,難しい
direction,方向
disappear,消える
disaster,災害
disease,病気
distance,距離
effect,効果
electricity,電気
encourage,励ます
environment,環境
especially,特に
establish,設立する
eventually,最終的に
examine,調べる
excellent,素晴らしい
exercise,運動
experience,経験
explanation,説明
famous,有名
financial,金融の
fortunate,幸運な
freedom,自由
friendly,友好的
frustration,挫折
furniture,家具
generous,寛大
happiness,幸福
healthy,健康
honest,正直
identity,身元
important,重要
information,情報
ingredient,成分
intelligent,知的な
interesting,面白い
invention,発明
limit,制限
location,場所
lucky,幸運な
marriage,結婚
meaning,意味
medicine,薬
message,メッセージ
method,方法
mistake,間違い
modern,現代の
apply,適用する
approach,アプローチ
appropriate,適切な
argue,主張する
arrange,整理する
article,記事
aspect,側面
assignment,課題
atmosphere,雰囲気
attempt,試み
attract,引き付ける
basis,基礎
beyond,〜を越えて
combine,結合する
comfort,快適さ
command,命令する
commercial,商業の
commit,委ねる
communication,通信
company,会社
competition,競争
complain,不満を言う
complete,完全な
complex,複雑な
component,成分
concentrate,集中する
concept,概念
concern,関心
conclude,結論を下す
conduct,行動する
conference,会議
conflict,対立
confuse,混乱させる
congratulate,祝う
connection,接続
consequence,結果
consistent,一貫した
constant,絶え間ない
construct,構築する
consume,消費する
contact,連絡する
contain,含む
content,内容
contest,競技
context,文脈
continue,続ける
contract,契約
contrast,対比
contribute,貢献する
control,制御する
convenient,便利な
conversation,会話
convince,納得させる
cooperate,協力する
coordinate,調整する
correct,正しい
council,評議会
courage,勇気
course,課程
court,裁判所
coverage,報道
create,作る
creature,生物
credit,信用
crime,犯罪
crisis,危機
critical,批判的な
crucial,重要な
current,現在の
damage,損害
danger,危険
data,データ
debate,討論
debt,借金
decade,10年間
decline,減少する
decrease,減少する
deep,深い
defeat,敗北
defend,守る
define,定義する
definite,明確な
degree,度
delay,遅れる
deliver,配達する
demand,要求する
democracy,民主主義
demonstrate,示す
deny,否定する
department,部門
depend,依存する
depress,憂鬱にさせる
depth,深さ
describe,説明する
desert,砂漠
design,設計する
desire,欲望
destroy,破壊する
detail,詳細
detect,検出する
determine,決定する
develop,開発する
device,装置
devote,捧げる
dialogue,対話
difference,違い
dimension,次元
direct,直接の
discipline,規律
discover,発見する
discuss,議論する
dismiss,解雇する
display,表示する
distinguish,区別する
distribute,配布する
district,地区
divide,分ける
document,文書
domestic,国内の
dominant,支配的な
double,二重の
doubt,疑う
downtown,市の中心部
dozen,ダース
draft,下書き
drama,ドラマ
draw,描く
dream,夢
dress,服装
drift,漂う
drink,飲む
drive,運転する
drop,落とす
drown,溺れる
drug,薬
dry,乾いた
due,期限の
during,〜の間に
duty,義務
eager,熱心な
earn,稼ぐ
earth,地球
ease,楽にする
economy,経済
edge,縁
editor,編集者
educate,教育する
effort,努力
elect,選ぶ
element,要素
eliminate,除去する
emerge,現れる
emphasize,強調する
employee,従業員
employer,雇用主
enable,可能にする
encounter,遭遇する
endure,耐える
enemy,敵
energy,エネルギー
engage,従事する
engine,エンジン
enhance,高める
enjoy,楽しむ
enormous,巨大な
ensure,確実にする
enter,入る
entertain,楽しませる
enthusiasm,熱意
entire,全体の
equal,等しい
equipment,装置
equivalent,同等の
escape,逃げる
estate,不動産
estimate,見積もる
ethnic,民族の
evaluate,評価する
event,イベント
evidence,証拠
evolution,進化
exact,正確な
examine,調査する
example,例
exceed,超える
excellent,優れた
exception,例外
exchange,交換する
excite,興奮させる
exclude,除外する
excuse,言い訳
execute,実行する
exercise,運動する
exhibit,展示する
exist,存在する
expand,拡大する
expect,期待する
expense,費用
experiment,実験
expert,専門家
explain,説明する
explode,爆発する
explore,探検する
express,表現する
extend,延長する
extent,範囲
external,外部の
extra,余分の
extreme,極端な
eye,目
facility,施設
fact,事実
false,誤った
family,家族
far,遠い
border,境界
boundary,境界線
brief,短い
broad,広い
budget,予算
calculate,計算する
campaign,キャンペーン
capacity,能力
capture,捕える
career,キャリア
category,カテゴリー
celebrate,祝う
central,中心の
century,世紀
ceremony,儀式
champion,チャンピオン
character,性格
characteristic,特徴
charge,料金
charity,慈善
chemical,化学物質
circumstance,状況
citizen,市民
civil,市民の
claim,主張する
collapse,崩壊する
colleague,同僚
abandon,捨てる
ability,能力
absolutely,絶対に
academic,学問の
accept,受け入れる
accomplish,成し遂げる
achievement,達成
addition,追加
adjust,調整する
advantage,利点
advertisement,広告
affect,影響を与える
alternative,代替の
analysis,分析
announce,発表する
apparent,明らかな
application,申請
kangaroo,カンガルー
keen,熱心な
kettle,ケトル
keyboard,キーボード
kidnap,誘拐する
kidney,腎臓
kiss,キス
kite,凧
knob,ノブ
known,知られている
koala,コアラ
lack,不足
ladder,はしご
launch,打ち上げる
lawyer,弁護士
lazy,怠け者の
lead,導く
leak,漏れる
leap,跳ぶ
leather,革
leave,去る
left,左
lens,レンズ
lie,嘘をつく
life,人生
lift,持ち上げる
light,光
lightning,雷
like,好き
limb,手足
line,線
link,リンク
lion,ライオン
liquid,液体
list,リスト
listen,聞く
literature,文学
little,小さい
live,住む
laser,レーザー
lately,最近
legacy,遺産
lifestyle,ライフスタイル
likely,ありそうな
limitation,制限
linear,線形の
lip,唇
liver,肝臓
load,積み荷
loan,ローン
local,地元の
locate,位置する
lock,ロックする
logic,論理
logical,論理的な
lonely,孤独な
long,長い
look,見る
loop,ループ
loose,緩い
lord,領主
lose,失う
loss,損失
lot,たくさん
loud,うるさい
lounge,ラウンジ
love,愛
loyal,忠実な
luck,運
lunch,昼食
luxury,贅沢
machine,機械
mad,怒った
magazine,雑誌
magic,魔法
magnet,磁石
magnitude,大きさ
maid,メイド
mail,郵便
main,主要な
maintain,維持する
major,主要な
make,作る
male,男性
manage,管理する
management,経営
manager,マネージャー
manner,方法
manual,手動の
manufacture,製造する
map,地図
march,行進する
margin,余白
mark,印
market,市場
married,結婚している
marry,結婚する
mask,マスク
mass,大量の
master,達人
match,試合
material,材料
math,数学
matter,問題
mature,成熟した
maximum,最大
may,～かもしれない
maybe,たぶん
mayor,市長
meal,食事
mean,意味する
meantime,その間
meanwhile,その間に
measure,測る
measurement,測定
meat,肉
mechanic,整備士
mechanism,仕組み
medal,メダル
media,メディア
medical,医療の
medium,媒体
meet,会う
meeting,会議
melt,溶ける
member,メンバー
membership,会員
memory,記憶
mental,精神の
mention,言及する
menu,メニュー
merchant,商人
mercy,慈悲
mere,ほんの
merge,合併する
merit,功績
merry,楽しい
metal,金属
meter,メートル
middle,真ん中
midnight,真夜中
might,かもしれない
mild,穏やかな
military,軍事の
milk,牛乳
million,百万
mind,心
mine,鉱山
mineral,鉱物
minimum,最小
minister,大臣
minor,小さい
minute,分
miracle,奇跡
mirror,鏡
miss,逃す
mission,使命
mix,混ぜる
mixture,混合
nail,釘
naive,世間知らずの
name,名前
narrative,物語
narrow,狭い
nation,国家
national,国家の
native,母国の
natural,自然の
nature,自然
navigate,航行する
navy,海軍
near,近く
nearly,ほとんど
neat,きちんとした
necessary,必要な
neck,首
need,必要
needle,針
negative,否定的な
neglect,無視する
negotiate,交渉する
neighbor,隣人
neighborhood,近所
neither,どちらも～ない
nerve,神経
nervous,緊張した
nest,巣
net,ネット
network,ネットワーク
neutral,中立の
never,決して～ない
nevertheless,それにもかかわらず
new,新しい
news,ニュース
newspaper,新聞
next,次の
nice,良い
night,夜
nightmare,悪夢
noble,高貴な
nobody,誰も～ない
noise,騒音
nominate,指名する
none,誰も～ない
nonsense,ナンセンス
noon,正午
nor,～もまた～ない
norm,基準
normal,通常の
north,北
nose,鼻
notable,注目すべき
note,メモ
nothing,何も～ない
notice,気づく
notion,概念
novel,小説
now,今
nowhere,どこにも～ない
nuclear,核の
number,数
numerous,多数の
nurse,看護師
nursery,保育園
nut,ナッツ
nutrition,栄養
oak,オーク
obey,従う
object,物体
objective,客観的な
obligation,義務
oblige,義務を負わせる
observation,観察
observe,観察する
obstacle,障害
obtain,得る
obvious,明らかな
occasion,機会
occasionally,時々
occupy,占める
occur,発生する
ocean,海洋
october,10月
odd,奇妙な
of,～の
off,離れて
oath,誓い
objective,目的
obscure,不明瞭な
obvious,明白な
occasionally,時折
ocean,海
offend,気分を害する
offer,提供する
office,オフィス
officer,警官
official,公式の
often,しばしば
oil,油
okay,大丈夫
old,古い
olive,オリーブ
olympic,オリンピックの
omit,省略する
once,一度
one,一つ
onion,玉ねぎ
online,オンラインの
only,唯一の
onto,～の上へ
open,開ける
operate,操作する
operation,操作
opinion,意見
opponent,対戦相手
opportunity,機会
oppose,反対する
opposite,反対の
opt,選ぶ
option,選択肢
orange,オレンジ
orbit,軌道
orchestra,オーケストラ
order,注文する
ordinary,普通の
organ,臓器
organic,有機的な
organization,組織
organize,組織する
origin,起源
original,元の
orphan,孤児
other,他の
otherwise,さもなければ
